A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
0,72.4569078063,225.9802617904,16.2077977678,6.493995644,71.1069402166,5.0989519391,3.5016819034,good
1,77.7290873371,225.4571895552,15.1984352548,69.7566626808021,70.511971477,5.2602590246,3.4554381266000003,good
2,79.4451546622,227.837948808,11.9569425028,6.828692036,71.7031813072,4.9885900016,4.1243272946000005,bad
3,78.7513280313,226.3653974256,13.7949243082,6.951062642,72.1827822946,3.9758715986,30.857761120346375,good
4,82.592011958,227.9254209968,12.7692050764,6.723497115,71.8185246124,4.6088451713,3.7003968072,good
5,73.4917404655,227.7454684736,11.851893282999999,6.722112568,67.688157118,5.5743847748,3.0036953662,bad
6,82.5300508984,232.617529144,13.5255845464,6.16110103,71.863806673,4.4457749801,4.0828341018,good
7,76.2086220176,229.313666432,13.9183861498,6.628514162,70.0953004018,5.2923313574,3.3059749868,good
8,541.6729031969232,224.0247782784,13.5918574402,6.396172725,71.3757237514,6.2242762361,2.6256190484,bad
9,78.6168328529,229.2914874352,10.5446663038,7.2987564585,70.2362285566,5.4862570316,4.0371215446,bad
10,74.871261049,227.8727888192,12.1488958882,6.687227116,71.4226446226,6.0209493569,3.0378383662,bad
11,84.6568237055,229.0973161488,12.0189755638,7.4711999344999995,68.747609998,5.3642965073,3.8588647854,good
12,79.6754577339,227.0123661728,11.9368931632,8.2065776585,68.1432671572,4.8125346875,3.1847772006,bad
13,77.4434919816,227.4020782064,14.226486252399999,7.877406466,70.5985402558,5.1302539565,3.9448052168,good
14,636.6870435156736,229.4483228928,12.3881216254,66.65260255415926,69.2199634702,5.174713586,3.9419416418,good
15,74.9462139685,225.5269052672,15.538242152199999,7.3487751975,71.3085466606,4.9733673812,3.3832758424000002,good
16,77.2089920607,226.8794246592,11.6713762666,7.4548792545,71.7186693124,6.1897866965,3.4883582634,bad
17,79.8586966637,222.4564000752,13.1498605846,8.4676595325,70.84585306,4.2068569382,3.8501940694,good
18,79.4255078927,232.7590333552,11.5345976662,8.7325542395,70.269875005,4.9776912644,4.098756397,bad
19,75.9947051919,230.5703478448,12.3062840326,9.1633612585,70.9369258696,3.6109477208,27.298531031066286,good
20,75.5642799405,225.2900657552,10.9284233656,7.3811958650000005,72.4458774214,6.9039336059,3.7453551344,bad
21,82.2374262858,,12.167730271,10.8099259005,70.6415730292,3.8795583758000003,4.1285896482,good
22,75.3945021782,228.8823989552,13.0876182442,7.3150530845,71.7943363048,5.2338418694,,bad
23,80.2578569781,228.7939890288,11.6823121264,7.519638044,70.3483225318,5.0681926331,4.0173237082,bad
24,80.9936254421,227.7150636096,12.5538887542,7.893358097,67.4754738724,4.4524306352,3.3139140286,bad
25,77.5310100533,224.3923327808,12.3223587976,7.2779526915,68.3154699022,5.5143890324000004,2.8306716354,bad
26,79.4286732661,229.1782347984,13.5526037452,7.6890860375,71.3648480122,5.2236009125,3.013194222,good
27,83.7996788316,231.0719836768,11.7402304054,8.3229094855,69.4063024648,5.1119990384,3.1204616408,bad
28,82.747498895,232.6507069168,11.93348755,7.8544811045,69.7949978068,4.6032681518,3.3683743866,bad
29,78.8679315937,232.455487856,11.9384086156,7.3322509175,69.7402753294,5.2401316061,3.929190872,bad
30,80.779935085,226.3835359056,10.9984311886,6.857397403,68.3596934416,5.7757957118,,bad
31,75.1343440607,229.8457412864,14.448264463,7.659146833,71.9630128798,4.4608446332,3.072631037,good
32,620.2840142916722,225.229321912,12.9521169454,6.5260668065,71.8208875336,4.7874166298,3.8333941474,good
33,588.1207787456543,228.2048205648,14.394577053399999,7.155965355,73.0892436496,3.9944034784999998,4.7120217386,bad
34,79.9347009159,227.8675118464,14.3974607626,8.4313794485,70.4951435866,5.3188016273,4.060066105,good
35,78.1847355483,226.06224516,10.5477062986,7.4195538085,70.6019297128,6.492691991,3.403722466,bad
36,74.1837859813,231.3393658192,12.3540170632,7.7623690065,71.0584841548,4.983058187,3.3009774768,good
37,87.5014160471,227.3853070672,10.1357319292,7.96581565,70.4743238146,5.4749291591,3.1043888136,good
38,76.5862348329,224.4492363312,15.211262055399999,6.9179296885,70.792179076,5.4440328587,3.1414071134,good
39,82.4448020271,226.11276075680001,13.5736798612,7.7387711205,72.8718254056,3.9852927788,4.103869385,good
40,82.2734355475,227.6830331344,12.4470899452,8.002745643,70.2428448892,4.7897663456,3.8142259416,bad
41,79.3270383502,226.7615319456,13.820190934,8.6168080845,70.5956011114,5.4576825635,4.1481849522,good
42,77.076647346,225.6034489808,14.1069700342,7.2456245345,69.7445106874,5.377930454,3.2638151816,bad
43,81.5349227976,231.2043312176,13.1075358076,7.7257910925,69.0328844986,4.1671175126,3.6369811214000003,bad
44,87.4676866448,234.4070503872,11.3992302778,7.7141240865,70.0556567392,5.3287380974,4.1254548316,good
45,80.063594805,229.9293424592,12.7112785192,9.4686047525,69.6340762618,4.0305487919,3.8497583582,good
46,79.0740032814,228.76991148,12.532461091,8.0126283095,70.8867561904,5.0803364219,2.7090859654,good
47,77.3628186561,234.3816172176,11.5904698888,7.4767192445,71.1164294308,5.6951929718,4.219563675,bad
48,73.6757141538,,12.1453582258,7.3636926895,70.9461528082,5.773341056,3.7301355736,bad
49,77.8965857112,233.6179171664,11.4188817868,7.4411323915,69.985602784,5.6654298107,4.1730096742,bad
50,74.4166280515,230.8391278672,13.4813544646,6.2620345595,69.7981906366,5.429194421,3.1402248954000003,good
51,79.2185154023,227.186247544,11.6716811344,6.925232371,70.9457105776,5.2787592227,3.8833966182,bad
52,82.55315031559999,,10.923076634800001,8.920577096,70.1683090834,4.9923689567,3.7712457820000003,good
53,82.2903555624,227.1463864416,13.3916098366,8.2214917175,70.808148748,5.3345186471,,good
54,85.7196541282,224.5231541936,11.1334132216,6.2284777465,72.1405649128,5.5088697797,3.6891680808,good
55,83.8623144596,228.974365816,11.5541860504,8.4680641445,71.0052907312,4.7286234392,4.0574700692,good
56,83.4630489042,229.1270123248,12.779307499,7.126491644,69.5265355546,5.6407735337,2.9312088398,good
57,82.0871249599,228.3674013184,13.7266787098,7.630088837,69.382058377,5.7868213964,4.1325095658,good
58,79.0882222506,229.8732873536,12.4938717748,8.5247838035,72.1983028714,4.8902904032,3.3052924938,good
59,81.5828856908,230.7195418112,12.0168706792,6.684330985,71.6985438238,4.7993418869,3.8098857598,good
60,73.4181048559,232.1633778368,13.2748154332,7.4463733715,71.8778910736,4.476597641,3.159077855,good
61,71.119132252,231.2752734112,12.4616723986,6.3030084145,70.2952778782,5.9605123367,3.4827426580000003,bad
62,73.6511632088,227.8311095296,13.8601880104,7.8611783385,70.0677470842,5.206636526,3.923836739,bad
63,80.8650939533,226.1873672864,12.49754221,5.81691243,69.8341239268,5.2557005747,3.5937747894000003,good
64,75.7512425701,,13.8896220868,6.861419472,70.8985590568,5.3227194155,3.4126058828,good
65,73.2209938551,231.6699874848,14.5380397486,7.2186383554999995,71.007110935,3.4058485334,4.0143967216,good
66,75.8410276895,233.4108068128,13.1565047746,8.943024187,68.082242131,3.9318218369,3.6179025882,good
67,77.0174486166,231.695783944,13.9113280576,7.833048138,71.8413588118,4.555894664,4.1538917216,bad
68,77.8547842957,229.5874621264,11.8346566528,,69.565516651,5.7986333057,3.5775054226000003,bad
69,79.2407436144,224.8829206816,12.2496164428,8.454638841,68.6115777412,4.9306663838,2.994121527,bad
70,605.1047563065969,224.4626901328,13.8020555836,7.193725752,69.9179312626,5.8965936653,3.1910462106,bad
71,84.4733643491,225.7435675936,14.569249543,5.354394876,72.7626724696,4.6279647737,4.3379161714,good
72,81.0694173313,227.0752173664,10.2266537926,6.837132265,71.547282949,5.7444624128,3.8305537098,bad
73,80.0748860072,228.1801116096,13.2866393974,7.8282402855,68.0462607844,4.8489247337,3.7057397596,bad
74,75.8967402609,227.926464808,11.9605388716,7.040362246,68.824231474,5.8169119154,3.304423378,bad
75,84.1051239469,227.4269959888,11.1102760132,7.6771292209999995,71.3015852656,5.1684366179,3.8932087218,good
76,84.27458589689999,232.090898,10.9827142582,5.3538284915,70.9218239938,5.6968081658,3.6343407516,good
77,81.7353974501,230.3811642016,12.480128122,7.2055394835,70.4663482468,4.7928326972,3.6538163042000003,bad
78,75.8616689855,231.1376960304,11.3658830902,6.60269042,70.8229793428,5.7985007714,3.312396194,bad
79,75.88182144,227.232531616,13.7754064492,8.171513511,70.1879488024,4.727722988,3.242510578,bad
80,83.6231009712,229.541508744,12.614634235,6.5451566985,70.340362306,5.1343030148,4.0662569994,good
81,75.3423898883,226.063287416,14.9863357516,7.5500361335,71.0003537296,4.996826045,3.4183279504,good
82,84.4745894064,228.7119886688,10.5718784548,6.6893632255,71.6326101262,5.4210837347,3.2529764584,bad
83,82.679663993,220.0238287344,13.364007262,8.3907632325,70.1130515674,4.5033294542,3.9574931226,good
84,83.336910302,226.6748062032,12.191798156800001,7.7853528565,70.1233569034,5.999690957,3.5680240992,good
85,79.0684042664,225.6902492176,11.6422431244,7.7041093515,70.5364781884,6.2291157878,3.3614048448,bad
86,83.5903385701,228.0241846624,11.7980638774,7.8091101375,70.2164345992,5.8136640761,3.6249828724,good
87,80.9947470748,228.7435305136,13.1843064754,6.6130588065,70.7322677536,4.6010892926,3.8710970424,good
88,77.249526408,229.358683968,11.790508387,7.259573831,70.552938142,5.791506041,28.690489321229855,bad
89,82.4477993892,230.189318488,11.776065808,7.627103774,70.2530683486,5.0821467572,3.612870435,bad
90,80.9822014299,231.0300488096,11.3482732312,7.632969117,70.4285741104,5.3123192399,3.0065168034000003,good
91,78.8038728353,228.142220832,12.801940186,7.4652349415,71.2524936892,5.1108649592,2.6878189316,good
92,78.6857450644,226.1098555328,12.454201873,,70.1452476178,5.6940726707,3.8571885888,bad
93,76.0281820139,226.3818885744,15.293628349,6.7439295735,70.3963570792,5.1990270113,26.744413143258694,good
94,80.1850553792,226.6557765504,9.9886665436,7.0866986275,70.9147974118,6.5835344987,3.2599207862,bad
95,82.6079449723,228.694094112,12.3171800512,7.974478284,69.8666608504,4.8314254034,3.930431634,good
96,78.8255874109,226.5892743328,12.0519848884,6.9023418455,72.1754060536,5.9777928202999995,3.2732716014000003,bad
97,83.426395457,228.4383295264,12.071848342,66.79456804108513,71.883808702,4.7950331882,4.2802910766,good
98,79.6174487408,230.9266108112,11.7243787948,8.564642441,67.3588906546,4.8342117275,3.1500068338,good
99,77.7972838623,231.1570753184,12.9758478436,6.625851774,70.4067744874,5.375554655,3.1707953226,good
100,76.9953799076,228.7847976656,13.0812157846,7.9409098165,71.1988314166,5.2188086651,3.6573766642,good
101,77.8882893308,226.6643994272,14.5119279748,66.75741967236401,70.8262745296,5.2811626505,3.4211626874,good
102,76.3485350612,224.4298201184,13.2648854458,7.8887617155,69.8298494818,5.246875808,23.804253140515414,bad
103,76.262070948,231.241841696,13.1628630124,7.347997061,71.2947215566,4.9789909868,3.2957476558,good
104,77.0121437634,229.9855321024,14.1816617416,7.942230997,70.586593525,4.8034253573,4.0255037996,bad
105,79.1894234839,227.7010496592,12.6035116654,6.7195908415,68.8768406512,5.3807791808,3.2497321056,bad
106,78.6221555376,227.6845860624,14.1045965722,8.5430912395,71.3375331016,5.1665273678,4.2081523504,good
107,82.4834090011,226.2314202784,12.117519058,6.4782649065,71.1015415258,5.0341791542,3.5889332002,good
108,80.2604858447,225.1438644336,12.7356395692,7.722488914,67.7054782318,5.255034074,3.2776857432,bad
109,619.7788363813412,225.1559718096,13.1505737338,7.482950648,69.0676552588,5.6254726178,3.5050130692,bad
110,82.7339222778,228.0495088096,12.7974942958,6.802598292,69.329729035,5.9247961964,3.2506628734,good
111,77.6951590599,229.601471808,12.9985129822,8.2547983605,70.8991174384,5.2266721691,3.5274766504,good
112,81.9978697866,223.1008392848,12.1605709984,5.604392603,72.5612522338,5.1504355913,3.922197622,good
113,76.1413074306,227.3720163152,12.6657042538,7.240634952,70.7193538366,4.9748019362,4.6762399586,bad
114,76.7468224776,225.9525360352,11.7598531384,7.221679284,72.127904524,5.3065181876,4.6340343878,bad
115,,227.4384959552,12.5277655024,8.172843325,71.3939868502,5.1590943071,3.9579374166,bad
116,78.0017050865,225.091346968,11.2570847062,6.6888273345,72.2230569196,5.9725925894,3.7278851624000002,bad
